,Var1,participant_n,trial_n,ImageLeft,ImageRight,RewardLeft,RewardRight,MaxReward,MinReward,TotalReward,MaxPerformance,MinPerformance,responseKey,RT,response,PCorrectChoice,leftChoice,rightChoice,CumSum,CumPCorrect,SimChoice,SimReward,RandomPerformance,PCorrectChoiceSim,CumSum_sim,CumPCorrect_sim,loadings_left1,loadings_left2,loadings_left3,loadings_left4,loadings_left5,loadings_left6,loadings_left7,loadings_left8,loadings_left9,loadings_left10,loadings_left11,loadings_left12,loadings_left13,loadings_left14,loadings_right1,loadings_right2,loadings_right3,loadings_right4,loadings_right5,loadings_right6,loadings_right7,loadings_right8,loadings_right9,loadings_right10,loadings_right11,loadings_right12,loadings_right13,loadings_right14
0,0,participant_01,1,stimuli/hard_disk.png,stimuli/mandolin.png,50,43,50,43,50,50,43,left,845,correct,1,1,0,1,1,1,43,43,0,0,0,1.07840991020203,0.00625336542725563,0.00113717571366578,0.0205402299761772,0.0542597435414791,0.127369433641434,0.00654535787180066,0.33142426609993,0.00534209236502647,2.11308622360229,0.0196925848722458,0.00131315283942968,0.00607337197288871,0.0159253142774105,1.25561654567719,0.00643381429836154,0.0170205291360617,0.381177663803101,0.0159282926470041,0.359938532114029,0.0419225133955479,0.149789735674858,1.011958360672,0.435090571641922,0.63671886920929,0.0322734154760838,0.0030615171417594,0.0199884790927172
1,1,participant_01,2,stimuli/vent.png,stimuli/koala.png,56,0,56,0,50,106,43,right,1709,incorrect,0,0,1,1,0.5,1,0,43,0,0,0,1.11017715930939,0.0146204801276326,0.00225150468759239,0.00368225784040987,1.21252775192261,0.00699636153876781,0.0971741452813149,0.180771246552467,0.00425976561382413,0.157050043344498,0.0755972042679787,0.0148871913552284,0.02003606967628,0.0111158257350326,0.0326790809631348,0.0223430804908276,2.28926038742065,0.0795093476772308,0.0396816544234753,0.00743495346978307,0.35097324848175,0.0271973870694637,0.00997199490666389,0.00107629783451557,0.0217698384076357,0.0155683476477861,0.00128792272880673,0.0233430005609989
2,2,participant_01,3,stimuli/teabag.png,stimuli/trigger.png,15,69,69,15,65,175,58,left,1545,incorrect,0,1,0,1,0.333333333333333,0,15,58,0,0,0,0.366007596254349,1.1677473783493,0.00799738895148039,0.111264072358608,0.837789237499237,0.928652584552765,0.545447766780853,0.00204606307670474,0.0102796396240592,0.0231738276779652,0.0586713925004005,0.0161459408700466,0.0177370775490999,0.50023752450943,1.60760223865509,0.00333612598478794,0.00662773801013827,0.117132425308228,0.0129787204787135,0.0220070816576481,0.00344211631454527,0.279083698987961,0.0179472137242556,0.284710377454758,0.0146657107397914,0.00867553986608982,0.00514905713498592,0.0278138630092144
3,3,participant_01,4,stimuli/puddle.png,stimuli/stair.png,2,32,32,2,97,207,60,right,1088,correct,1,0,1,2,0.5,0,2,60,0,0,0,0.151173904538155,0.0963902249932289,0.564850568771362,0.0268097072839737,0.0192257054150105,0.0292501710355282,1.59126925468445,0.442616313695908,0.310259282588959,0.0166047140955925,0.18803071975708,0.598553419113159,1.08827674388886,0.0585755109786987,0.757793366909027,0.0277176257222891,0.00181012821849436,0.0188835002481937,1.2043993473053,0.151229962706566,0.0406089201569557,0.071807399392128,0.11988477408886,0.0337797217071056,1.29553818702698,0.0393262505531311,0.00106785097159445,0.0282326582819223
4,4,participant_01,5,stimuli/vial.png,stimuli/dagger.png,37,72,72,37,134,279,97,left,1563,incorrect,0,1,0,2,0.4,1,72,132,1,1,0.2,1.00243508815765,0.00635537365451455,0.00459223939105868,0.188788712024689,0.0079105431213975,0.474760949611664,0.00221132813021541,0.00884761568158865,0.0384689047932625,0.110310912132263,0.00953013729304075,0.962588310241699,0.00969282258301973,0.320819020271301,1.97278678417206,0.0248226877301931,0.113164447247982,0.0867257043719292,0.0134003711864352,0.0208601132035255,0.0437783040106297,0.0153440339490771,0.236170902848244,0.0101374601945281,0.383910208940506,0.0295990835875273,0.0276683308184147,0.0391683131456375
5,5,participant_01,6,stimuli/traffic_light.png,stimuli/horseshoe.png,47,77,77,47,181,356,144,left,1324,incorrect,0,1,0,2,0.333333333333333,0,47,179,0,1,0.166666666666667,0.936516344547272,0.0125866876915097,0.00427790405228734,0.0185158792883158,0.0459506176412106,0.385025024414062,0.0893399119377136,1.17161726951599,0.226893827319145,0.873391270637512,0.0414644367992878,0.00150440877769142,0.0174280367791653,0.0168442521244288,1.7380096912384,0.0120210479944944,0.363305330276489,0.350679039955139,0.0431771837174892,0.0867499858140945,0.275914460420609,0.409529596567154,0.634599983692169,0.00943097937852144,0.281034022569656,0.0159374475479126,0.0529850795865059,0.0234975274652243
6,6,participant_01,7,stimuli/volleyball.png,stimuli/landmine.png,25,50,50,25,231,406,169,right,999,correct,1,0,1,3,0.428571428571429,0,25,204,0,1,0.142857142857143,0.561573684215546,0.120278343558311,0.0137752778828144,0.270069986581802,0.00738391559571028,1.09165859222412,0.0742058604955673,0.652092158794403,0.833297312259674,0.00571192288771272,0.148610904812813,0.055118303745985,0.0344362482428551,0.0115095498040318,1.15175879001617,0.0884881392121315,0.113380938768387,0.00216008280403912,0.00357391848228872,0.00534828612580895,0.522310853004456,0.445725560188293,0.622455835342407,0.299824565649033,0.0747808590531349,0.0010875822044909,0.00562829803675413,0.0136785078793764
7,7,participant_01,8,stimuli/bowtie.png,stimuli/cement_mixer.png,22,51,51,22,282,457,191,right,1194,correct,1,0,1,4,0.5,1,51,255,1,2,0.25,0.260946154594421,0.0106362504884601,0.241422742605209,1.77680313587189,0.26059964299202,1.1293820142746,0.00590689666569233,0.05118777602911,0.330206125974655,0.0818309411406517,0.0118144098669291,0.0270096585154533,0.00816463120281696,0.118966102600098,1.17184495925903,0.0788166970014572,0.0290908999741077,0.0193865615874529,0.046810407191515,0.00379833369515836,0.0338687486946583,1.02033698558807,0.10166048258543,0.204110577702522,0.859939217567444,0.281083881855011,0.00181802886072546,0.0504126958549023
8,8,participant_01,9,stimuli/hot-water_bottle.png,stimuli/polo_shirt.png,11,4,11,4,293,468,195,left,932,correct,1,1,0,5,0.555555555555556,1,4,259,0,2,0.222222222222222,0.26207447052002,0.301493018865585,0.0840306803584099,0.21485523879528,0.547168552875519,0.0933896377682686,0.214788571000099,0.84932678937912,0.625812768936157,0.0926765128970146,0.05692508071661,1.00429940223694,1.33367466926575,0.591892659664154,0.0370491668581963,0.0652511194348335,0.35107558965683,1.93935060501099,0.0560707040131092,0.490857899188995,0.267833590507507,0.0612772814929485,0.0299815218895674,0.00962824653834105,0.00272949156351387,0.00176744710188359,0.016043309122324,0.0187206380069256
9,9,participant_01,10,stimuli/christmas_card.png,stimuli/copier.png,16,55,55,16,348,523,211,right,1167,correct,1,0,1,6,0.6,0,16,275,0,2,0.2,0.272760182619095,0.0721260830760002,0.376337826251984,0.0286408010870218,0.814065754413605,1.28191912174225,0.0312634482979774,0.0263276938349009,0.026081919670105,0.237535089254379,0.0244631692767143,0.0145445745438337,0.00504218600690365,0.0280436109751463,1.10514569282532,0.00355492811650038,0.00613596616312861,0.036645520478487,0.872962474822998,0.0584901385009289,0.0180820859968662,0.405869334936142,0.036443155258894,1.50277149677277,0.0312210265547037,0.0851335003972054,0.0283724740147591,0.00663109542801976
