"Linear","GP","SingleCue","EqualWeighting","p"
-0.673513254927619,-0.67379671514614,-0.689714333967832,-0.681399002968776,1
-0.729966065915962,-0.713278402346338,-7.0609127909039,-0.580018728112073,1
-0.826456509263147,-0.826389070634763,-28.0537540141742,-0.514964772409081,1
-0.316010686678563,-0.334560120632053,-0.36214778924173,-0.705068499622858,1
-1.70226987289614,-1.65696301658362,-0.875580802108907,-0.681381255655604,1
-1.052116702773,-1.09916550232716,-0.848986164202182,-0.6813990177805,1
-0.457654562926366,-0.368372352827441,-0.589586628695756,-0.705073989489019,1
-0.32882701551936,-0.305339056533365,-0.57250343575002,-0.70506426904085,1
-0.594892951548346,-0.618473105938797,-0.660368063216791,-0.681434279745603,1
-0.208724273976617,-0.261826481034759,-0.532553923026316,-0.705072643766271,1
-1.54258609069017,-1.55747560981509,-0.797792295988523,-0.681389428568545,1
-1.20354996576152,-1.1723594861468,-0.783624853448779,-0.681397764586404,1
-0.0613326203145894,-0.0616098140802432,-0.456062877314527,-0.705106702381519,1
-0.0516352643323357,-0.0607623142039158,-0.447188267114663,-0.681446384400817,1
-0.0528891462159017,-0.054826717912656,-0.438747431492146,-0.68143919183809,1
-0.753190538328991,-0.7441278906903,-0.697804994762062,-0.681388592216525,1
-0.266334082991111,-0.283440504482434,-0.567563639719238,-0.681401816911638,1
-0.0244388223356636,-0.0257330954651035,-0.410855998023795,-0.681373770432485,1
-2.28580779752115,-2.26601395762791,-0.889240264613766,-0.68141752459013,1
-1.9128820215497,-1.90970959788234,-0.878790646455338,-0.681413600804849,1
-0.467003465001227,-0.454777863752016,-0.647303880174874,-0.681518387272532,1
-0.214493915177398,-0.216034410979572,-0.593408355505905,-0.705064338112128,1
-0.0575489862597821,-0.0600083975396696,-0.461037108029005,-0.705029730716123,1
-0.114218771960884,-0.117482995876713,-0.511038672894872,-0.681488304973797,1
-0.0214015162205511,-0.0230971118367711,-0.412297707269588,-0.6813877801054,1
-0.491034154668669,-0.417368475255286,-0.644381292323401,-0.681414623124363,1
-1.48205877888652,-1.52616723604033,-0.823246869212219,-0.681475701374445,1
