"Linear","GP","SingleCue","EqualWeighting","p"
-0.658731226208743,-0.691644691254172,-0.686290351881344,-0.69327155629454,1
-0.720535937454215,-0.694653912697306,-6.83140657778994,-0.675604390051688,1
-0.622378358879602,-0.691644691254172,-2.16854831879227,-0.693404837902488,1
-0.863018096567818,-0.694653912697306,-0.557018962216218,-0.693607869791371,1
-1.00329668696379,-0.691644691254172,-0.695512116849693,-0.693301499819254,1
-0.820582105459516,-0.691644691254172,-1.15641878011329,-0.693158324060243,1
-0.531125034659537,-0.694653912697306,-0.62061059822948,-0.693095184228619,1
-0.441560663769618,-0.694653912697306,-0.555837314845092,-0.692827865163023,1
-0.4492511068618,-0.691644691254172,-0.539047107713687,-0.692846971230146,1
-0.325404268629731,-0.694653912697306,-0.580037557928346,-0.692929786578885,1
-0.124598378449068,-0.691553787391379,-0.678874149356063,-0.69216948729034,1
-0.758079727726364,-0.691644691262253,-0.689876295392155,-0.693277693630078,1
-0.322399896114739,-0.694653912697306,-0.651148036044946,-0.693084106216122,1
-0.331179425080186,-0.691644691254172,-0.598213913764652,-0.693278557091058,1
-0.0950511552884502,-0.691644691254172,-0.712443845581311,-0.693296733493406,1
-1.01104285399324,-0.691644691254172,-0.813180033682365,-0.693279392775726,1
-1.1082416912388,-0.691644691254172,-0.633999277604034,-0.693278310595393,1
-0.150147536436879,-0.691644691254172,-0.584592216989048,-0.693266236062842,1
-0.926369037995619,-0.691644691254172,-0.656526280854437,-0.693270195780859,1
-0.376670602233987,-0.691644691254172,-0.700105538961033,-0.693142960190165,1
-0.22901395958242,-0.691644691254172,-0.687854954614835,-0.693269219872888,1
-0.544782480273938,-0.694653912697306,-0.637721515394524,-0.693001469364752,1
-0.421476662103086,-0.694653912697306,-0.681321690758191,-0.692937294247982,1
-0.0640411431862184,-0.691644691254172,-0.512150035514711,-0.693102360315017,1
-0.208271554981515,-0.691644691254172,-0.696641021340502,-0.693414132634447,1
-0.190850230253851,-0.691644691254172,-0.617789746692732,-0.693513810599386,1
-0.891225406520351,-0.691644691254172,-0.743299132530684,-0.693498742582133,1
-0.378879430381266,-0.691644691254172,-0.687230453100442,-0.693473810674264,1
-0.904015143345395,-0.694653912697306,-0.698960033178083,-0.69299972207399,1
-0.131215434345494,-0.694653912697306,-0.71415378658358,-0.693133781023055,1
-1.97331187806623,-0.694653912697306,-0.699730229160961,-0.693125261624536,1
-0.049873420399624,-0.691644691254172,-0.572565046993655,-0.693152993202578,1
-0.383784777220381,-0.694653912697306,-0.63400488796654,-0.693284952153146,1
-0.939262575268469,-0.691644691254172,-0.610027011336263,-0.693312641741486,1
-0.212095234792887,-0.694653912697306,-0.726649110149014,-0.693184304372423,1
-0.221458399094162,-0.694653912697306,-0.627405612386849,-0.693077593903356,1
-0.381964462645938,-0.691644691254172,-0.597401979064408,-0.693329666740849,1
-0.423124804957554,-0.691644691254172,-0.640030851772751,-0.693276912173193,1
-0.676323255686752,-0.694653912697306,-0.700980940004834,-0.692920597688517,1
-0.737102553932372,-0.694653912697306,-0.691092073190644,-0.693147225038667,1
-0.511292629238738,-0.694653912697306,-0.722944926671357,-0.693023000713212,1
-0.333811257651972,-0.694653912697306,-0.661456573639825,-0.693022442635638,1
-0.206574147869978,-0.691644691254172,-0.67949227643102,-0.693274270416309,1
-0.362219779369893,-0.694653912697306,-0.694530769694604,-0.6930251619714,1
-0.225170642020863,-0.694653912697306,-0.701750895179758,-0.693023836400976,1
-0.259025212267835,-0.691644691254172,-0.668253703158717,-0.693273207774806,1
-0.292184144637461,-0.694653912697306,-0.702659637454772,-0.693010099076778,1
-0.24386666078349,-0.691644691254172,-0.608522344842187,-0.693294366399755,1
-1.30214731557992,-0.691644691254172,-0.718448810355364,-0.693204494012221,1
-0.198897257956914,-0.694653912697306,-0.616117963646633,-0.693025968653355,1
-0.542685328910417,-0.694653912697306,-0.745614816292814,-0.693089567709015,1
-0.991615981835056,-0.694653912697306,-0.702173484606304,-0.693019828417034,1
-0.218175730867589,-0.691644691254173,-0.68482308637095,-0.693286992239758,1
-0.867863520387757,-0.694653912697306,-0.648752829936123,-0.692985297934488,1
-0.148444107936786,-0.691644691254172,-0.63569577397922,-0.693251157957425,1
-0.227213308622936,-0.691644691254172,-0.641094123630546,-0.693217068382782,1
-0.246775478062897,-0.694653912697306,-0.608531283249382,-0.693020262693409,1
-0.855936930771866,-0.691644691254147,-0.682687061678284,-0.693165040763754,1
-0.0765040678426901,-0.694653912697306,-0.681632818908877,-0.693017797110642,1
-0.715428570931308,-0.694653912697306,-0.675509516039786,-0.692956322344954,1
-0.669815124710803,-0.694653912697306,-0.699136481431908,-0.693106074117511,1
-1.08918504961317,-0.691644691254137,-0.667939804986326,-0.693157840444025,1
-0.260166402516253,-0.694653912697306,-0.698921966641682,-0.693008273913926,1
-0.294369210237495,-0.694653912697306,-0.675878323392505,-0.692909586009868,1
-0.0520194995182189,-0.694653912697306,-0.694337590886576,-0.692866595694536,1
-0.290964899590043,-0.691644691254172,-0.627338528201099,-0.692832132093507,1
-0.0363176633109288,-0.691644691254172,-0.679238164484101,-0.693026807126427,1
-0.782470282201637,-0.694653912697306,-0.690381323522047,-0.693247238626665,1
-0.930919225419492,-0.691644691254172,-0.689649523504084,-0.693248198995009,1
-2.08072384132823,-0.694653912697306,-0.706227241893699,-0.692085217435861,1
-0.224168640065907,-0.694653912697306,-0.670769547244309,-0.695227950047197,1
-0.0923241536520727,-0.694653912697306,-0.7144637812158,-0.69451797283349,1
-0.258234067217835,-0.691644691254172,-0.685377308238042,-0.6930314651205,1
-0.173839419880263,-0.691644691254172,-0.658669870431834,-0.693751728560267,1
-1.00186293259175,-0.694653912697306,-0.702316783456637,-0.692461359982877,1
-0.04858303614266,-0.691644691254172,-0.649593896373802,-0.690070617783043,1
-2.58583438612022,-0.691644691254172,-0.665814463085592,-0.688892027228758,1
-1.42639500777664,-0.694653912697306,-0.703579446140596,-0.691858683627951,1
-0.532863248426384,-0.728902837572271,-0.585631916547306,-0.70252912057253,1
-1.31887571961785,-0.694653912697306,-0.756319606746662,-0.685161492521348,1
-0.195114022929888,-0.691644691254172,-0.647045679559082,-0.703389592326858,1
-0.542887655849463,-0.691644691254172,-0.687202850925496,-0.693001668358574,1
-0.904837711427378,-0.694653912697306,-0.711083195115045,-0.69247083093793,1
-0.156218853414107,-0.694653912697306,-0.636212010996802,-0.69154327269017,1
-0.402034340634903,-0.691644691254172,-0.694792387513613,-0.691753828523671,1
-0.254533675541194,-0.694653912697306,-0.597853352497945,-0.691411651883794,1
-0.533666248141942,-0.691644691254172,-0.685658860833402,-0.692835062956788,1
-0.637837906414264,-0.691644691254172,-0.631722932023912,-0.693849115370432,1
-0.132920576472634,-0.694653912697306,-0.651693785823093,-0.695028292054414,1
-0.134420917069378,-0.694653912697306,-0.70054276841867,-0.695297513308732,1
-0.545887266938555,-0.694653912697306,-0.627944479929362,-0.695331598752683,1
-0.486031640865664,-0.691644691254172,-0.692545915380877,-0.691491045595094,1
-0.078091595987723,-0.691644691254172,-0.632976233216684,-0.693565246883747,1
-0.586953824956022,-0.691644691254172,-0.677948543459975,-0.692650113756219,1
-0.864733103671579,-0.691644691254172,-0.692071649126434,-0.69264541269577,1
-0.15955634836174,-0.691644691254172,-0.701149580015726,-0.692656662082766,1
-0.237590256296359,-0.694653912697306,-0.699329562218718,-0.692643054495325,1
-0.124065769063889,-0.694653912697306,-0.692872561425541,-0.694410172238332,1
-0.363249819356405,-0.691644691254172,-0.652262839748965,-0.693229626741754,1
-0.687520898427152,-0.694653912697306,-0.785619344759228,-0.696121946173404,1
-0.262336467036711,-0.691644691254172,-0.682397456057502,-0.691351755182845,1
-0.0916037674131655,-0.694653912697306,-0.646220690455821,-0.691527152347741,1
-1.49952336527193,-0.691643629825824,-0.692875733120314,-0.693102081701898,1
-0.502771979557931,-0.694653912697306,-0.720525416767481,-0.691990800273144,1
-0.926169688444473,-0.691644691254172,-0.68666743275819,-0.693407792955443,1
-0.183601890576609,-0.694653912697306,-0.61014790854009,-0.692076517040762,1
-0.455413815278222,-0.691644691254172,-0.645683056093959,-0.692737782955388,1
-0.144553347471892,-0.691644691254172,-0.643639645611856,-0.693856544926876,1
-0.352847526238745,-0.691644691254172,-0.727740861810791,-0.693356672626746,1
-0.091167644412888,-0.694653912697306,-0.639236778737094,-0.692874497591083,1
-0.234816641539412,-0.694653912697306,-0.685006878641275,-0.692831644216544,1
-0.159790258807558,-0.691644691254211,-0.701409969717069,-0.694120017712375,1
-0.0321648817292835,-0.691644691254172,-0.657005251105933,-0.692963206092947,1
-0.271294181324152,-0.694653912697306,-0.730121410548381,-0.693861235753267,1
-0.268597920172541,-0.694653912697306,-0.602373973931782,-0.693325762395166,1
-0.38090410049584,-0.691644691254172,-0.684332388510036,-0.693174539747086,1
-0.0216306958328837,-0.691644691254172,-0.623918567343207,-0.693170698585213,1
-0.621195737171626,-0.691644691254172,-0.679084744905338,-0.693495097767596,1
-0.136354428813737,-0.694653912697306,-0.681085081464769,-0.693068358285358,1
-0.995658820350573,-0.691644691254172,-0.66094878613048,-0.693102747775459,1
-0.149940100456858,-0.691644691254172,-0.73894168921516,-0.693423811858358,1
-0.650974978180517,-0.691644691254172,-0.64313404956331,-0.693183170985433,1
-0.408925949926376,-0.691644691254172,-0.648104530799914,-0.693218762967642,1
-0.285917496499167,-0.694653912697306,-0.718107887647578,-0.692871078800257,1
-0.300570507314587,-0.691644691230628,-0.735894674098078,-0.693056377137632,1
-0.669898731715292,-0.694653912697306,-0.682529469821363,-0.692440155562348,1
-1.95983700744959,-0.691644691254172,-0.65339806589257,-0.693531996904071,1
-0.513828756266058,-0.691644691247954,-0.687493680800792,-0.692810468942966,1
-0.407280154467535,-0.691644691254172,-0.633332269269023,-0.694069646773685,1
-0.901408408804295,-0.694653912697306,-0.700355975475563,-0.692170277363127,1
-0.240521902495133,-0.691644691254172,-0.644399070902305,-0.692462683134599,1
-0.459694697707808,-0.694653912697306,-0.62748067925405,-0.692194328435916,1
-3.3497219762242,-0.694653912697306,-0.698812980546341,-0.692733628839051,1
-0.804186004178586,-0.694653912697306,-0.687214764119167,-0.692935994767725,1
-0.236633095249522,-0.691644691254172,-0.664487177777012,-0.692425060394661,1
-0.805912286032515,-0.694653912697306,-0.713816922745413,-0.692883720428067,1
-0.59209013048659,-0.694653912697306,-0.718948893882489,-0.692688382230095,1
-0.00773999505583673,-0.691644691254172,-0.675217744732008,-0.69360997675843,1
-0.653228877738379,-0.691614035145918,-0.687321215749245,-0.691979643900128,1
-1.05556630950766,-0.694653912697529,-0.68927712288877,-0.695725410565388,1
-0.40909225050245,-0.691644691254172,-0.684831135970443,-0.691648372513674,1
-1.38175436958525,-0.691644691254172,-0.679429221533994,-0.694302980835282,1
-0.190730684939717,-0.694653912697306,-0.705168478970356,-0.693154070519719,1
-0.0576957758520197,-0.694653912697306,-0.734839106008677,-0.691033337236592,1
-0.207760396413892,-0.694653912697306,-0.693027424431417,-0.690114153317397,1
-0.675222166129793,-0.694653912697306,-0.752572941379483,-0.692189986466444,1
-0.1955331766089,-0.694653912697306,-0.656541735262903,-0.694086150034207,1
-0.367516879228803,-0.691644691254172,-0.688540071869764,-0.693094997621853,1
-0.22620950837545,-0.694653912697306,-0.642995463265233,-0.692221026062263,1
-0.0405964121746138,-0.694653912697306,-0.675710806990832,-0.691714621438825,1
-0.710039702269951,-0.694653912697249,-0.697804445964586,-0.693053638161399,2
-0.75188022767925,-0.694653912697249,-0.000897828043283347,-0.721338211982633,2
-0.56897878720779,-0.691644691254098,-1.34132568010271,-0.693294853296338,2
-0.676400831648511,-0.691644691254098,-0.488273433399631,-0.693227132855723,2
-0.835041551206791,-0.694653912697249,-0.733727369751048,-0.693104547196841,2
-0.820631172677419,-0.694653912697249,-1.14888974344573,-0.693035016568763,2
-0.577316538627982,-0.694653912697249,-0.647781604857436,-0.693044042216068,2
-0.31801472336667,-0.694653912697249,-0.597492621063242,-0.692886162736877,2
-0.781022554349462,-0.691644691254098,-0.912843541591486,-0.693202309007827,2
-0.460889246217436,-0.694653912697249,-0.671441340747645,-0.69296470949251,2
-1.18982877125506,-0.694653912697249,-0.75356886705968,-0.693021536197434,2
-1.2475953642221,-0.691644691254098,-0.834783802016746,-0.693301756606907,2
-0.490990300595386,-0.694653912697249,-0.722022005553139,-0.693281618014437,2
-1.62596425077159,-0.694653912697249,-0.888551669978778,-0.692858258420121,2
-1.11545357358287,-0.694653912697249,-0.740729205850755,-0.693281812904044,2
-0.38362455265437,-0.691644691254098,-0.671838525821293,-0.693479946156224,2
-0.733660245543242,-0.694653912697249,-0.73443514529716,-0.693071842470627,2
-0.682060262926571,-0.691644691254098,-0.681614502479129,-0.693147509588096,2
-0.699197518628792,-0.691644691254098,-0.657442105493961,-0.693070989020689,2
-0.365266158239762,-0.694653912697249,-0.649796557751867,-0.693009489797232,2
-0.318170606986554,-0.694653912697249,-0.686502826328913,-0.692920217708478,2
-1.17583195089461,-0.691644691254098,-0.762148433264414,-0.693141876727156,2
-0.521923139756483,-0.694653912697249,-0.668942810796718,-0.693181319908156,2
-0.660493805184226,-0.694653912697249,-0.692104375795728,-0.693015430800385,2
-0.322184510437035,-0.691644691254098,-0.631101420168933,-0.693297967810116,2
-0.855280075591527,-0.694653912697249,-0.647640479839915,-0.693056130350448,2
-0.696043824476084,-0.691644691254098,-0.764095416242838,-0.693251269670539,2
-0.797053559187667,-0.691644691254098,-0.643697249748256,-0.693242294929319,2
-0.361738030051198,-0.691644691254098,-0.685236803195403,-0.693223135385943,2
-0.528379360815185,-0.694653912697249,-0.641916581934825,-0.693036873412842,2
-0.439382535429483,-0.691644691254098,-0.624969793411087,-0.693360241335294,2
-0.438199887367129,-0.694653912697249,-0.679433654583293,-0.693020713899337,2
-0.937271268088391,-0.694653912697249,-0.668050498160297,-0.693003260539845,2
-0.564725961027856,-0.691644691254098,-0.593402157828183,-0.693220876789452,2
-0.324767322372859,-0.691644691254098,-0.68757034566173,-0.693196481769329,2
-1.473773482227,-0.691644691254098,-0.705803782830989,-0.693173874391037,2
-0.336306348434726,-0.694653912697249,-0.695515229112574,-0.693057636859294,2
-0.882267825572016,-0.691644691254098,-0.720793624977107,-0.693307220242486,2
-0.512189515785679,-0.691644691254098,-0.663997256447747,-0.693123069713053,2
-0.536946123689329,-0.691644691254098,-0.660531623522697,-0.69325561594578,2
-0.523350966472789,-0.694653912697249,-0.711145247139427,-0.693056237254675,2
-0.357979464251149,-0.694653912697249,-0.665005842265738,-0.693053804979205,2
-0.650822932135884,-0.691644691254098,-0.693842182052257,-0.693241334281145,2
-0.566036897059036,-0.691644691254098,-0.666745831545533,-0.693243082650457,2
-1.28284404186049,-0.691644691254098,-0.718561632659064,-0.693240556650381,2
-0.586558707492605,-0.691644691254098,-0.649937622847799,-0.693235288976409,2
-0.307435851384976,-0.694653912697249,-0.684310844523356,-0.69304985235854,2
-0.32470281616392,-0.691644691254098,-0.657629559892237,-0.69320483591845,2
-0.662134482100492,-0.694653912697249,-0.761326947544204,-0.69306760692075,2
-0.581163644895646,-0.691644691254098,-0.720831783687644,-0.693229972513524,2
-0.449507941099275,-0.694653912697249,-0.700807067242772,-0.692944648474168,2
-0.944337607024407,-0.691644691254098,-0.716956900895527,-0.693261363011941,2
-0.566509692719397,-0.694653912697249,-0.702996909784642,-0.693078995267782,2
-1.03618174997824,-0.691644691254098,-0.688965873989554,-0.693160862102592,2
-0.4308305082205,-0.694653912697249,-0.668769176728244,-0.693152471941303,2
-1.14377310447258,-0.691644691254098,-0.694353426453528,-0.693239257609753,2
-0.362735243051366,-0.691645612715589,-0.710578524193057,-0.693372144304683,2
-0.264128006024008,-0.691644691254138,-0.687143698747226,-0.693241760649473,2
-0.94291887275559,-0.691644691254098,-0.701876364725977,-0.693234796327728,2
-0.500147274822049,-0.694653912697249,-0.698687387449191,-0.693103255580556,2
-1.14686025279173,-0.691644691254098,-0.685382814336341,-0.693243836955065,2
-1.10120341407551,-0.694653912697249,-0.696693062679496,-0.693041186643282,2
-0.592899020279268,-0.694653912697249,-0.69300006267076,-0.693095762903509,2
-0.685630213350015,-0.691644691254098,-0.68345769125762,-0.693321761099208,2
